Precio,Kilometraje,Antiguedad,Marca,Historial_Accidentes,Financiamiento_Disponible,Comprar
Bajo,Alto,Nuevo,Economica,No,Si,Si
Bajo,Alto,Usado,Economica,Si,No,No
Alto,Alto,Usado,Economica,Si,Si,No
Bajo,Bajo,Seminuevo,Premium,No,No,Si
Alto,Alto,Usado,Media,No,No,No
Medio,Alto,Nuevo,Media,Si,No,No
Bajo,Medio,Nuevo,Economica,No,Si,Si
Medio,Alto,Usado,Media,No,Si,Si
Alto,Bajo,Nuevo,Media,Si,Si,Si
Medio,Medio,Seminuevo,Economica,No,Si,Si
Alto,Bajo,Seminuevo,Economica,Si,Si,No
Alto,Alto,Seminuevo,Media,No,Si,Si
Alto,Alto,Nuevo,Media,No,No,Si
Bajo,Medio,Nuevo,Economica,No,No,Si
Bajo,Medio,Nuevo,Media,Si,Si,Si
Bajo,Medio,Usado,Economica,No,No,Si
Alto,Bajo,Seminuevo,Premium,Si,Si,Si
Alto,Bajo,Seminuevo,Economica,Si,No,No
Medio,Bajo,Seminuevo,Economica,Si,Si,Si
Bajo,Medio,Usado,Media,Si,No,No
Medio,Alto,Usado,Economica,No,Si,No
Alto,Bajo,Seminuevo,Economica,Si,Si,No
Alto,Bajo,Usado,Premium,No,No,Si
Medio,Alto,Nuevo,Premium,Si,Si,Si
Alto,Bajo,Nuevo,Premium,No,Si,Si
Bajo,Medio,Nuevo,Economica,Si,No,Si
Bajo,Bajo,Seminuevo,Media,No,Si,Si
Alto,Medio,Nuevo,Economica,Si,Si,No
Alto,Alto,Nuevo,Media,Si,Si,No
Medio,Alto,Usado,Premium,No,Si,Si
Medio,Alto,Nuevo,Premium,No,No,Si
Medio,Bajo,Nuevo,Economica,Si,Si,Si
Medio,Alto,Nuevo,Premium,Si,No,Si
Alto,Medio,Seminuevo,Premium,Si,No,No
Bajo,Alto,Nuevo,Economica,Si,Si,Si
Alto,Alto,Seminuevo,Media,No,Si,Si
Alto,Alto,Seminuevo,Premium,No,No,Si
Medio,Medio,Seminuevo,Economica,No,Si,Si
Alto,Alto,Usado,Economica,Si,No,Si
Medio,Bajo,Usado,Premium,Si,Si,Si
Alto,Bajo,Nuevo,Economica,Si,No,Si
Alto,Bajo,Usado,Premium,Si,No,No
Bajo,Bajo,Seminuevo,Media,Si,No,Si
Medio,Alto,Usado,Economica,No,No,No
Alto,Alto,Seminuevo,Economica,Si,Si,No
Bajo,Medio,Nuevo,Media,Si,Si,Si
Alto,Medio,Usado,Economica,No,Si,No
Bajo,Medio,Usado,Premium,Si,No,No
Bajo,Bajo,Nuevo,Media,No,Si,Si
Alto,Bajo,Usado,Media,No,No,Si
Alto,Alto,Usado,Media,No,Si,No
Bajo,Medio,Nuevo,Economica,No,No,Si
